,RGC_SO,RGC_S12,RGC_S34,RGC_S56,RGC_SGC,RGC_SAC,E_SO,E_SO_S56,E_SO_S56_SGC,E_S12,E_S12_S34_S56,E_S12_S34_S56_SGC,E_S12_S56,E_S12_S56_SGC,E_S12_SGC,E_S34,E_S34_S56,E_S34_S56_SGC,E_S34_SGC,E_S34_SGC_SAC,E_S56,E_S56_SGC,E_S56_SGC_SAC,E_SGC,E_SAC,E_ns,I_SO,I_SO_S12,I_SO_S12_S56,I_SO_S34_S56,I_SO_S56,I_SO_S56_SGC,I_S12,I_S12_S34_S56_SGC,I_S12_S34_SGC,I_S12_S56,I_S12_S56_SGC,I_S12_S56_SGC_SAC,I_S12_SGC,I_S34,I_S34_S56,I_S34_S56_SGC,I_S34_SGC,I_S34_SGC_SAC,I_S56,I_S56_SGC,I_S56_SGC_SAC,I_S56_SAC,I_SGC,I_SGC_SAC,I_ns,I_SIN,TPN_E,TPN_O
RGC_SO,0,0,0,0,0,0,0,0,0,0.025747126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00103888,0.010388889,0,0,0,0.013970443,0,0,0.012972652,0.012424,0,0.022988506,0,0,0,0,0,0,0,0,0,0,0,0,0.034482759,0.010658,0.138719
RGC_S12,0,0,0,0,0,0,0,0,0,0.027986111,0,0,0.021109649,0.011952381,0,0,0,0,0.001666667,0.010714286,0,0,0,0,0,0,0,0.036041667,0.021388889,0,0,0,0.031785714,0,0,0.023484195,0.021314,0,0.02962963,0,0,0.003306159,0,0.051041667,0,0,0,0,0,0,0,0.040104167,0.020137,0.101228
RGC_S34,0,0,0,0,0,0,0,0,0,0.011309524,0,0,0.020281955,0.000510204,0.005952381,0,0,0,0.004761905,0.040816327,0,0.011602564,0,0,0,0.001560224,0,0.032857143,0.004761905,0,0,0,0.013061224,0,0,0.004741379,0,0,0.024603175,0,0,0.005900621,0,0.057142857,0.004571429,0.000892857,0,0,0,0,0.01123,0.047767857,0.1199494,0.025429
RGC_S56,0,0,0,0,0,0,0,0,0.00462963,0,0,0,0,0.014880952,0,0,0,0,0.005555556,0.029761905,0,0.033846154,0,0.005208333,0,0.008169935,0,0.0125,0.069444444,0,0.003333333,0.009259259,0.003571429,0,0,0.004183908,0,0,0,0,0.001736111,0.007246377,0,0.083333333,0.005,0.00390625,0,0,0,0,0.02293103,0.03125,0.236129,0.035054
RGC_SGC,0,0,0,0,0,0,0,0,0.011111111,0,0,0,0.00131579,0,0,0,0,0,0,0.042857143,0,0.023846154,0,0,0,0.029411765,0,0,0,0,0.004,0,0.002857143,0,0,0.002068966,0.005882353,0,0,0,0.00625,0.014130435,0.002941176,0.1,0.008,0.017708333,0.033333333,0,0,0,0.023103448,0.025,0.306565,0.02313
RGC_SAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0.011111111,0.023809524,0,0.008547009,0,0.006944444,0,0.021786492,0,0,0,0,0,0,0,0,0,0,0,0,0.001234568,0,0,0.02173913,0,0.055555556,0,0,0.092592593,0,0.01984127,0.018518519,0.017088123,0,0.215102,0.021326
E_SO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012125,0,0,0,0,0,0,0.001724138,0.0625,0.02690583,0.116451613
E_SO_S56,0,0,0,0,0,0,0,0,0.01010101,0,0,0,0,0.006493506,0.060606061,0,0,0,0,0.012987013,0,0,0,0,0,0.003565062,0,0,0,0,0,0.01010101,0,0,0,0,0.002673797,0,0.02020202,0,0.003787879,0.010869565,0,0.068181818,0.007272727,0.002840909,0.015151515,0.060606061,0,0,0.001880878,0.039772727,0.135344476,0.118768328
E_SO_S56_SGC,0,0,0,0,0,0,0,0.02020202,0.024691358,0,0,0,0.007309942,0.007936508,0,0,0,0,0.007407407,0.015873016,0,0,0,0.013888889,0,0.004357298,0,0,0,0,0.008888889,0.012345679,0,0,0,0,0,0,0.024691358,0,0.002314815,0.006038647,0,0,0.004444444,0.009259259,0.00617284,0,0,0,0.002298851,0.048611111,0.10363727,0.136200717
E_S12,0,0,0,0,0,0,0,0,0,0.010416667,0,0,0.000548246,0.00297619,0,0,0.005952381,0,0.008333333,0.011904762,0,0,0,0,0,0.001633987,0,0.020833333,0.013888889,0,0.003333333,0,0.002380952,0,0,0.015028736,0.003676471,0,0.046296296,0,0,0.006793478,0.00122549,0.041666667,0,0,0,0,0,0,0.001724138,0.041666667,0.073893871,0.159543011
