Type,number
RGC_SO,220
RGC_S12,1822
RGC_S34,1063
RGC_S56,182
RGC_SGC,76
RGC_SAC,137
E_SO,23
E_SO_S56,129
E_SO_S56_SGC,105
E_S12,281
E_S12_S34_S56,70
E_S12_S34_S56_SGC,47
E_S12_S56,890
E_S12_S56_SGC,164
E_S12_SGC,70
E_S34,12
E_S34_S56,82
E_S34_S56_SGC,94
E_S34_SGC,176
E_S34_SGC_SAC,82
E_S56,47
E_S56_SGC,305
E_S56_SGC_SAC,72
E_SGC,94
E_SAC,12
E_ns,597
I_SO,90
I_SO_S12,36
I_SO_S12_S56,27
I_SO_S56,225
I_SO_S56_SGC,81
I_S12,315
I_S12_S34_S56_SGC,18
I_S12_S34_SGC,27
I_S12_S56,1044
I_S12_S56_SGC,306
I_S12_SGC,81
I_S34,36
I_S34_S56,432
I_S34_S56_SGC,828
I_S34_SGC,306
I_S34_SGC_SAC,36
I_S56,225
I_S56_SGC,864
I_S56_SGC_SAC,162
I_S56_SAC,27
I_SGC,126
I_SGC_SAC,27
I_ns,2633
I_SIN,144
TPN_E,2615
TPN_O,727
