strength,E_S12,E_S12_S34_S56,E_S12_S34_S56_SGC,E_S12_S56,E_S12_S56_SGC,E_S12_SGC,E_S34,E_S34_S56,E_S34_S56_SGC,E_S34_SGC,E_S34_SGC_SAC,E_S56,E_S56_SGC,E_S56_SGC_SAC,E_SAC,E_SGC,E_SO,E_SO_S56,E_SO_S56_SGC,E_ns,I_S12,I_S12_S34_S56_SGC,I_S12_S34_SGC,I_S12_S56,I_S12_S56_SGC,I_S12_SGC,I_S34,I_S34_S56,I_S34_S56_SGC,I_S34_SGC,I_S34_SGC_SAC,I_S56,I_S56_SAC,I_S56_SGC,I_S56_SGC_SAC,I_SGC,I_SGC_SAC,I_SIN,I_SO,I_SO_S12,I_SO_S12_S56,I_SO_S56,I_SO_S56_SGC,I_ns
E_S12,954,0,12,2462,203,204,18,0,125,812,85,104,1026,11,0,268,0,108,639,860,1536,0,0,5226,715,0,68,1844,3372,465,319,1208,172,2112,1302,656,42,1892,397,0,0,1613,410,9636
E_S12_S34_S56,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
E_S12_S34_S56_SGC,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
E_S12_S56,115,441,74,9077,1438,285,24,166,720,1029,1892,77,1558,504,0,71,0,2565,881,4279,48,0,16,6419,3797,311,281,4327,6109,3235,467,3098,22,8545,1444,1121,73,15,94,100,0,2087,1164,25985
E_S12_S56_SGC,241,1013,0,4014,232,51,0,113,275,2332,148,35,1023,355,0,103,52,223,107,5530,43,0,0,3981,4694,230,11,1519,4268,2919,519,1839,406,6289,517,1129,119,0,0,0,306,1445,1993,15431
E_S12_SGC,0,0,0,2099,335,71,78,0,408,351,288,0,96,0,0,59,0,745,0,527,41,205,0,2159,1108,13,0,3017,3715,650,0,90,149,1591,1528,375,259,0,0,0,0,129,54,5373
E_S34,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E_S34_S56,34,0,0,429,121,0,0,0,6,455,0,0,122,0,0,507,0,0,0,156,209,48,139,318,831,0,0,0,2368,509,0,0,0,1546,537,331,100,0,0,0,0,35,91,2256
E_S34_S56_SGC,0,0,34,184,95,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,31,0,0,0,9,464,0,0,0,0,3,0,0,0,0,0,0,0,43,0,84
E_S34_SGC,147,11,0,1780,27,0,0,0,78,192,16,0,818,0,0,228,0,0,13,1179,600,0,0,553,386,42,732,1071,1436,1416,0,287,7,705,0,773,0,92,49,0,0,229,547,3252
E_S34_SGC_SAC,793,0,3979,3128,3080,0,0,0,0,2265,161,917,1654,657,0,725,0,371,7,7735,0,0,5096,10927,3862,0,371,6900,9635,172,1651,1261,0,18181,1606,1877,0,3406,568,0,0,1542,0,17785
E_S56,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E_S56_SGC,0,0,0,448,232,0,0,0,82,685,21,0,1178,0,0,0,0,0,0,354,93,0,0,392,42,0,56,451,184,1298,0,24,0,1317,0,1318,0,0,0,0,0,0,575,3398
E_S56_SGC_SAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E_SAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E_SGC,178,0,0,267,0,0,0,5,145,978,0,5,772,8,0,635,0,0,423,57,196,0,23,503,1518,0,0,0,5851,3973,0,43,0,3799,106,680,21,163,48,0,0,72,131,6657
E_SO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E_SO_S56,0,200,0,1161,396,203,6,702,233,634,65,0,0,0,0,660,0,279,109,947,0,8,0,1707,1357,501,0,829,660,0,0,349,49,1960,1549,970,305,0,234,0,9,0,37,4305
E_SO_S56_SGC,7,0,9,384,193,0,0,0,391,748,0,0,1229,0,0,113,0,242,101,858,26,0,0,101,698,250,0,101,2242,1067,123,72,0,2356,111,242,0,15,0,0,0,0,38,5766
E_ns,44,70,111,6325,2385,0,174,526,2014,2847,1439,162,2217,24,0,1010,0,23,160,5299,357,7,0,4085,7339,1256,0,4633,17890,6710,435,3017,813,13687,2656,5077,372,138,257,0,0,926,1576,41567
I_S12,261,152,3,1319,50,0,0,192,262,1328,331,35,2026,0,0,847,0,0,251,769,573,0,0,3476,2053,0,48,1440,5304,2473,0,920,0,5399,183,1128,0,1669,303,518,0,233,41,10633
