neuron_id,population,index
E_SO_0,E,0
E_SO_1,E,1
E_SO_S56_0,E,2
E_SO_S56_1,E,3
E_SO_S56_2,E,4
E_SO_S56_3,E,5
E_SO_S56_4,E,6
E_SO_S56_5,E,7
E_SO_S56_6,E,8
E_SO_S56_7,E,9
E_SO_S56_8,E,10
E_SO_S56_9,E,11
E_SO_S56_10,E,12
E_SO_S56_11,E,13
E_SO_S56_12,E,14
E_SO_S56_SGC_0,E,15
E_SO_S56_SGC_1,E,16
E_SO_S56_SGC_2,E,17
E_SO_S56_SGC_3,E,18
E_SO_S56_SGC_4,E,19
E_SO_S56_SGC_5,E,20
E_SO_S56_SGC_6,E,21
E_SO_S56_SGC_7,E,22
E_SO_S56_SGC_8,E,23
E_SO_S56_SGC_9,E,24
E_SO_S56_SGC_10,E,25
E_S12_0,E,26
E_S12_1,E,27
E_S12_2,E,28
E_S12_3,E,29
E_S12_4,E,30
E_S12_5,E,31
E_S12_6,E,32
E_S12_7,E,33
E_S12_8,E,34
E_S12_9,E,35
E_S12_10,E,36
E_S12_11,E,37
E_S12_12,E,38
E_S12_13,E,39
E_S12_14,E,40
E_S12_15,E,41
E_S12_16,E,42
E_S12_17,E,43
E_S12_18,E,44
E_S12_19,E,45
E_S12_20,E,46
E_S12_21,E,47
E_S12_22,E,48
E_S12_23,E,49
E_S12_24,E,50
E_S12_25,E,51
E_S12_26,E,52
E_S12_27,E,53
E_S12_S34_S56_0,E,54
E_S12_S34_S56_1,E,55
E_S12_S34_S56_2,E,56
E_S12_S34_S56_3,E,57
E_S12_S34_S56_4,E,58
E_S12_S34_S56_5,E,59
E_S12_S34_S56_6,E,60
E_S12_S34_S56_SGC_0,E,61
E_S12_S34_S56_SGC_1,E,62
E_S12_S34_S56_SGC_2,E,63
E_S12_S34_S56_SGC_3,E,64
E_S12_S34_S56_SGC_4,E,65
E_S12_S56_0,E,66
E_S12_S56_1,E,67
E_S12_S56_2,E,68
E_S12_S56_3,E,69
E_S12_S56_4,E,70
E_S12_S56_5,E,71
E_S12_S56_6,E,72
E_S12_S56_7,E,73
E_S12_S56_8,E,74
E_S12_S56_9,E,75
E_S12_S56_10,E,76
E_S12_S56_11,E,77
E_S12_S56_12,E,78
E_S12_S56_13,E,79
E_S12_S56_14,E,80
E_S12_S56_15,E,81
E_S12_S56_16,E,82
E_S12_S56_17,E,83
E_S12_S56_18,E,84
E_S12_S56_19,E,85
E_S12_S56_20,E,86
E_S12_S56_21,E,87
