source,target,weight
E_SO_S56_0,I_SO_S56_SGC_1,37.0
E_SO_S56_0,I_S12_S56_0,1707.0
E_SO_S56_0,I_S12_S56_37,1707.0
E_SO_S56_0,I_S12_S56_92,1707.0
E_SO_S56_0,I_S12_S56_101,1707.0
E_SO_S56_0,I_ns_59,4305.0
E_SO_S56_1,E_ns_14,947.0
E_SO_S56_1,I_S12_SGC_6,501.0
E_SO_S56_1,I_S34_S56_SGC_40,660.0
E_SO_S56_1,I_S34_S56_SGC_57,660.0
E_SO_S56_1,I_S56_SGC_36,1960.0
E_SO_S56_2,I_S12_S56_10,1707.0
E_SO_S56_2,I_S12_S56_15,1707.0
E_SO_S56_2,I_S34_S56_SGC_35,660.0
E_SO_S56_3,E_S12_SGC_4,203.0
E_SO_S56_3,I_SO_S56_SGC_1,37.0
E_SO_S56_3,I_S12_S56_53,1707.0
E_SO_S56_3,I_S34_S56_SGC_32,660.0
E_SO_S56_4,E_SO_S56_SGC_10,109.0
E_SO_S56_4,I_S12_S56_22,1707.0
E_SO_S56_4,I_S34_S56_SGC_7,660.0
E_SO_S56_4,I_S34_S56_SGC_25,660.0
E_SO_S56_4,I_S34_S56_SGC_47,660.0
E_SO_S56_5,I_S12_S56_15,1707.0
E_SO_S56_5,I_S12_S56_92,1707.0
E_SO_S56_5,I_S12_SGC_2,501.0
E_SO_S56_5,I_ns_254,4305.0
E_SO_S56_6,E_S12_S56_SGC_5,396.0
E_SO_S56_6,E_S12_SGC_2,203.0
E_SO_S56_6,E_S12_SGC_6,203.0
E_SO_S56_6,I_SO_6,234.0
E_SO_S56_6,I_S12_S56_96,1707.0
E_SO_S56_6,I_S12_SGC_3,501.0
E_SO_S56_6,I_S12_SGC_7,501.0
E_SO_S56_6,I_S34_S56_SGC_25,660.0
E_SO_S56_6,I_S34_S56_SGC_52,660.0
E_SO_S56_7,E_S12_SGC_1,203.0
E_SO_S56_7,I_S56_SGC_9,1960.0
E_SO_S56_8,E_S12_SGC_0,203.0
E_SO_S56_8,E_ns_7,947.0
E_SO_S56_8,I_S12_S56_53,1707.0
E_SO_S56_8,I_S12_S56_65,1707.0
E_SO_S56_8,I_S12_SGC_7,501.0
E_SO_S56_8,I_S56_SGC_33,1960.0
E_SO_S56_9,I_SO_2,234.0
E_SO_S56_9,I_S12_SGC_0,501.0
E_SO_S56_9,I_ns_191,4305.0
E_SO_S56_10,E_S12_SGC_2,203.0
E_SO_S56_10,I_S12_S56_45,1707.0
E_SO_S56_11,I_SO_4,234.0
E_SO_S56_11,I_S12_S56_55,1707.0
E_SO_S56_11,I_S34_S56_SGC_2,660.0
E_SO_S56_11,I_S56_SGC_70,1960.0
E_SO_S56_12,E_S12_S56_SGC_4,396.0
E_SO_S56_12,E_S12_SGC_0,203.0
E_SO_S56_12,E_S12_SGC_4,203.0
E_SO_S56_12,E_S34_SGC_SAC_2,65.0
E_SO_S56_12,I_S12_S56_64,1707.0
E_SO_S56_SGC_0,I_S34_S56_SGC_50,2242.0
E_SO_S56_SGC_1,E_SO_S56_4,242.0
E_SO_S56_SGC_1,E_S12_S56_26,384.0
E_SO_S56_SGC_1,E_S12_S56_27,384.0
E_SO_S56_SGC_1,E_ns_42,858.0
E_SO_S56_SGC_1,I_S34_S56_SGC_35,2242.0
E_SO_S56_SGC_1,I_ns_111,5766.0
E_SO_S56_SGC_2,E_S12_S56_70,384.0
E_SO_S56_SGC_2,E_SGC_5,113.0
E_SO_S56_SGC_2,I_S12_14,26.0
E_SO_S56_SGC_2,I_S12_SGC_0,250.0
E_SO_S56_SGC_2,I_S56_SGC_10,2356.0
E_SO_S56_SGC_2,I_S56_SGC_18,2356.0
E_SO_S56_SGC_3,E_S12_S56_42,384.0
E_SO_S56_SGC_3,E_S12_S56_SGC_2,193.0
E_SO_S56_SGC_3,E_S34_SGC_13,748.0
E_SO_S56_SGC_3,I_S12_1,26.0
E_SO_S56_SGC_3,I_S34_S56_SGC_7,2242.0
E_SO_S56_SGC_3,I_ns_158,5766.0
E_SO_S56_SGC_3,I_SIN_10,15.0
E_SO_S56_SGC_4,E_SO_S56_3,242.0
