Type,DL_5HT,SL_5HT
E_ns,0.038583,0.0
E_SO,0.0,0.0
E_SO_S56,0.029326,0.0
E_SO_S56_SGC,0.060932,0.0
E_S12,0.013441,0.0
E_S12_S34_S56,0.0,0.0
E_S12_S34_S56_SGC,0.0,0.0
E_S12_S56,0.014007,0.00263
E_S12_S56_SGC,0.039171,0.01429
E_S12_SGC,0.048387,0.0
E_S34,0.0,0.0
E_S34_S56,0.004608,0.0
E_S34_S56_SGC,0.0,0.0
E_S34_SGC,0.004301,0.0
E_S34_SGC_SAC,0.043733,0.0
E_S56,0.0,0.0
E_S56_SGC,0.0,0.0
E_S56_SGC_SAC,0.001241,0.0
E_SGC,0.0,0.0
E_SAC,0.032258,0.0
I_ns,0.044734,0.0
I_SO,0.025806,0.0
I_SO_S12,0.056452,0.0
I_SO_S12_S56,0.064516,0.04667
I_SO_S56,0.005161,0.0
I_SO_S56_SGC,0.010753,0.0
I_S12,0.008295,0.02857
I_S12_S34_S56_SGC,0.0,0.0
I_S12_S34_SGC,0.0,0.0
I_S12_S56,0.014461,0.04345
I_S12_S56_SGC,0.000949,0.0
I_S12_SGC,0.0681,0.0
I_S34,0.0,0.0
I_S34_S56,0.004032,0.0
I_S34_S56_SGC,0.011921,0.00435
I_S34_SGC,0.001898,0.0
I_S34_SGC_SAC,0.177419,0.05
I_S56,0.024516,0.0
I_S56_SAC,0.0,0.0
I_S56_SGC,0.026546,0.00417
I_S56_SGC_SAC,0.023297,0.0
I_SGC,0.002304,0.0
I_SGC_SAC,0.0,0.0
I_SIN,0.038306,0.0297
TPN_E,0.315536,0.049
TPN_O,0.049168,0.20226
